time,filter,magnitude,error
2460199.2804929283,OMEGA_sinistro_gp,18.28438465409354,0.0060538706873515084
2460199.304609149,OMEGA_sinistro_gp,18.278221892135758,0.005558376490830038
2460199.3910940355,OMEGA_sinistro_gp,18.2740961037483,0.0063475705572829215
2460199.964635474,OMEGA_sinistro_gp,18.107594840598807,0.005917146081410335
2460200.231947927,OMEGA_sinistro_gp,18.013526682152957,0.005737602533961576
2460200.295092202,OMEGA_sinistro_gp,17.992133612078682,0.005732172298145372
2460200.3740057447,OMEGA_sinistro_gp,17.95644818598473,0.005887848484696413
2460200.8691985533,OMEGA_sinistro_gp,17.74232431981588,0.007748014506847955
2460200.8694947883,OMEGA_sinistro_gp,17.761001375443065,0.006957722472927723
2460200.871924438,OMEGA_sinistro_gp,17.757807093314888,0.006451679799855599
2460200.874378237,OMEGA_sinistro_gp,17.751707055629552,0.007046632743166991
2460200.8768300456,OMEGA_sinistro_gp,17.63189946211164,0.007243160614569864
2460200.879264742,OMEGA_sinistro_gp,17.742678251353937,0.00744416142899501
2460200.881726501,OMEGA_sinistro_gp,17.75490765722445,0.006574867791015733
2460200.8841501586,OMEGA_sinistro_gp,17.74209726049797,0.007232710636479894
2460200.8865820793,OMEGA_sinistro_gp,17.734794947434494,0.007057185737819002
2460200.889025505,OMEGA_sinistro_gp,17.759996040608865,0.00678906838098069
2460200.8914630758,OMEGA_sinistro_gp,17.743739979542184,0.006591890694068614
2460200.893921612,OMEGA_sinistro_gp,17.710552732088047,0.0069056854722443365
2460200.896341155,OMEGA_sinistro_gp,17.662740825569283,0.007704711531543424
2460200.898783353,OMEGA_sinistro_gp,17.731521432771874,0.006844633297797876
2460200.901211385,OMEGA_sinistro_gp,17.746160936164905,0.006970401021325747
2460200.9036521483,OMEGA_sinistro_gp,17.761239753868793,0.006340976013862691
2460200.906106477,OMEGA_sinistro_gp,17.714570193002572,0.0072127766483690075
2460200.908539854,OMEGA_sinistro_gp,17.751086486025933,0.006918537880096508
2460200.910973597,OMEGA_sinistro_gp,17.732110720824203,0.006928729559145855
2460200.919386701,OMEGA_sinistro_gp,17.73137536499718,0.006429153207929621
2460200.954911546,OMEGA_sinistro_gp,17.71029113839081,0.006763788558302108
2460200.995784965,OMEGA_sinistro_gp,17.767675814927735,0.006367358393604475
2460200.9986532573,OMEGA_sinistro_gp,17.808439865583967,0.006649778125432762
2460201.0009923647,OMEGA_sinistro_gp,17.657263159702786,0.007468586601395135
2460201.0034462507,OMEGA_sinistro_gp,17.657713602812713,0.006862582476261507
2460201.005879445,OMEGA_sinistro_gp,17.652945900504452,0.007325643278128212
2460201.00834057,OMEGA_sinistro_gp,17.66377714399598,0.007684790080758827
2460201.0107849156,OMEGA_sinistro_gp,17.60273211186457,0.00757066490979205
2460201.0132447244,OMEGA_sinistro_gp,17.633689668547632,0.007327541283421992
2460201.015667345,OMEGA_sinistro_gp,17.64409986701805,0.007102333333997577
2460201.0181015343,OMEGA_sinistro_gp,17.647256311919694,0.007329537861484142
2460201.0205604006,OMEGA_sinistro_gp,17.637180071321858,0.007777233083849428
2460201.0229909746,OMEGA_sinistro_gp,17.635699278611355,0.007739609938759584
2460201.0254493654,OMEGA_sinistro_gp,17.627538627982133,0.007454765444563024
2460201.027903809,OMEGA_sinistro_gp,17.6278348330583,0.00722754628719003
2460201.0303643644,OMEGA_sinistro_gp,17.62695274931799,0.007605135422498062
2460201.032798417,OMEGA_sinistro_gp,17.625862279142787,0.007325797238026784
2460201.0352333407,OMEGA_sinistro_gp,17.6201714628708,0.0074688289275446716
2460201.0376759265,OMEGA_sinistro_gp,17.601650831723667,0.007752567788015361
2460201.0401147236,OMEGA_sinistro_gp,17.707383852340143,0.007238343850576241
2460201.0425338666,OMEGA_sinistro_gp,17.61379886733198,0.008012408429235842
